Наименование;Категории
Исследование кала на простейших, яйца гельминтов;C
Общие метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС;C
Селен в крови, спектрометрия (Se);C
Микроскопическое исследование отделяемого влагалища;C
Скрининговое УЗИ III-го триместра;C
Приём (осмотр, консультация) врача-травматолога-ортопеда высшей категории повторный;C
Инсулин;C
Лептин;C
Гистологическое исследование биопсийного материала (эндоскопического материала, соскобов женской половой системы, кожи, мягких тканей, лимфоидной ткани, костно-хрящевой ткани), LDG;C
Щелочная фосфатаза;C
Антитела к циклическому цитруллиновому пептиду (ACCP, anti-CCP);C
Массаж общий 90 минут;C
Ультразвуковое исследование печени;C
Снятие швов;C
Прием врача акушера-гинеколога к.м.н. первичный;C
Антитела к кандиде (Candida albicans), IgG;C
ДНК бледной трепонемы (Treponema pallidum);C
Кортизол;C
Диагностика синдрома Жильбера (мутация гена UGT1);C
Витамин B7 (биотин), ВЭЖХ-МС;C
Витамин B6 (пиридоксаль-5-фосфат), ВЭЖХ-МС;C
Прием (осмотр, консультация) врача-педиатра первичный;C
Диаскинтест /Аллерген бактерий (Туберкулезный рекомбинантный) р-р для в/к введения флакон 0,1 мл/доз;C
РНК вируса гепатита C, кровь, колич.;C
Антитела к тиреоглобулину (Анти-ТГ);C
Ультразвуковое исследование плодов в I триместре многоплодной беременности;C
Кальпротектин (в кале);C
Авидность IgG к вирусу Эпштейна-Барр (Epstein-Barr virus, EBV) (включает определение антител к вирусу Эпштейна-Барр, IgG);C
Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgM;C
РНК коронавируса SARS-CoV-2 (COVID-19);C
Массаж спины 60 минут;C
№001-ГС/у Заключение медицинского учреждения о наличии (отсутствии) заболевания, препятствующего поступлению на государственную гражданскую службу РФ и муниципальную службу или ее прохождению;C
Выдача справки для занятием спортом с ЭКГ с нагрузкой;C
Белок S-100;C
Первичная хирургическая обработка раны без ушив;C
Прием (осмотр, консультация) врача-косметолога первичный;C
Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное);C
Премиум альгинатная маска с золотом ELLEVON;C
УЗИ нерва (одна область);C
Массаж головы и ШВЗ ( 40 минут);C
Ультразвуковое исследование предстательной железы трансректальное (ТРУЗИ);C
Катетеризация мочевого пузыря;C
Гемохроматоз, определение мутаций (HFE: 187C>G (rs1799945) HFE: 845G>A (rs1800562));C
Мочевая кислота;C
Гамма-глутамилтрансфераза (ГГТ);C
Диагностика дефицита железа;C
Массаж лица на аппарате LPG (время процедуры 20 минут);C
Промываение уха;C
Антитела к цитомегаловирусу (Cytomegalovirus), IgG;C
Эозинофильный катионный белок (ECP);C
Процент свободного ПСА (общий ПСА, свободный ПСА и соотношение);C
Выдача справки для занятием спортом с ЭКГ;C
Определение наличия антигенов эритроцитов C, c, E, e, K;C
Общая железосвязывающая способность сыворотки (ОЖСС) (включает определение железа, ЛЖСС);C
Липаза;C
Прием (осмотр, консультация) врача общей практики первичный;C
